Indonesian,English
aku,I
kau,you
yang,Which
tidak,No
ini,This
itu,That
dan,And
dia,he
di,in
akan,will
apa,What
kita,We
untuk,For
bisa,Can
ada,There is
tak,not
mereka,they
anda,You
tahu,know
dengan,with
saya,I
dari,from
ya,yes
tapi,But
kami,we
ke,to
harus,must
sudah,Already
kamu,You
adalah,is
orang,person
saja,just
seperti,like
ingin,want to
jika,If
pergi,go
hanya,only
semua,all
sekarang,Now
sini,here
jadi,So
dalam,in
bukan,No
baik,Good
bagaimana,How
jangan,Don't
lagi,Again
punya,Have
lebih,more
oh,Oh
pada,on
mungkin,Possible
kalian,you
lakukan,do
karena,Because
sangat,very
satu,One
juga,Also
apakah,is
mau,Want to
pernah,Once
siapa,Who
telah,has
ayo,Come on
hal,matter
saat,moment
kenapa,Why
hari,day
kembali,return
atau,or
datang,come
begitu,so
sesuatu,something
banyak,Lots
benar,Correct
kasih,love
menjadi,become
melihat,see
terjadi,happen
melakukan,do
terima,accept
tentang,about
lihat,Look
seorang,a
bahwa,that
kalau,if
hei,Hey
bagus,Good
bilang,said
masih,Still
oke,Okay
lain,other
sana,there
waktu,time
baiklah,Okay
tempat,place
mana,where
keluar,go out
lalu,Then
malam,Evening
maaf,Sorry
membuat,make
mati,dead
sedang,currently
memiliki,own
tahun,year
sekali,very
sampai,until
anak,child
baru,new
dapat,can
beberapa,a number of
ayah,Father
sendiri,Alone
katakan,say
hidup,life
mengapa,Why
sebuah,A
perlu,need
kan,right
sama,The same
tunggu,Wait
salah,Wrong
semuanya,everything
rumah,House
mengatakan,say
ia,He
ketika,when
masuk,enter
cepat,fast
dengar,hear
besar,big
padaku,To me
disini,here
pikir,think
pasti,Certain
yg,which
ibu,Mother
masalah,problem
benar-benar,truly
belum,Not yet
pak,Sir
bicara,talk
dua,two
tentu,Of course
selamat,Happy
cukup,Enough
selalu,always
tuhan,Lord
suka,Like
yeah,Yeah
seseorang,somebody
melakukannya,do it
pria,man
setelah,after
mengerti,understand
baik-baik,fine
tolong,Help
dimana,Where
bahkan,even
apa-apa,anything
berada,is at
menemukan,find
sedikit,A little
bertemu,meet
mendapatkan,get
percaya,believe
oleh,by
makan,Eat
lama,long
atas,on
ku,my
tinggal,stay
bekerja,Work
terlalu,too
wanita,woman
sebagai,as
padamu,to you
sayang,Darling
kali,time
tetap,still
yakin,Certain
hey,Hey
cara,method
berhenti,stop
jalan,road
setiap,every
berpikir,think
mulai,start
dunia,world
mari,let
membunuh,kill
selama,during
luar,outside
kecil,small
pertama,First
sebelum,before
diri,self
bersama,together
mengambil,take
boleh,can
the,The
merasa,feel
mencari,look for
uang,Money
apapun,whatever
senang,like
butuh,need
kurasa,I think
ayolah,come on
teman,Friend
sebenarnya,Actually
mencoba,try
gadis,girl
dulu,Formerly
tanpa,without
jam,O'clock
denganmu,with you
takkan,Will not
buruk,bad
para,Para
polisi,police
membawa,bring
yah,Yes
berapa,How many
orang-orang,people
itulah,that's
ingat,remember
kemudian,Then
siap,Ready
biarkan,let
maksudku,I mean
terus,Keep going
gila,Crazy
pun,even
tuan,Sir
sakit,Sick
tidur,Sleep
pulang,go home
segera,quick
seharusnya,should
kepada,to
memang,of course
takut,Afraid
dirimu,yourself
halo,Hello
terlihat,seen
nama,Name
i,i
sial,Unlucky
berbicara,speak
minta,ask for
kota,city
mobil,car
membantu,help
terakhir,final
biasa,normal
cinta,Love
mu,your
depan,front
sepertinya,it seems like
sebentar,A moment
padanya,To him
rasa,flavor
bagian,part
bodoh,stupid
sialan,Damn
manusia,man
tiga,three
berhasil,succeed
sungguh,Really
mendengar,hear
tepat,appropriate
bawah,lower
berikan,give
ambil,take
pagi,Morning
air,water
keluarga,family
hai,Hi
bawa,bring
kehilangan,lost
maafkan,I'm sorry
untukmu,for you
nanti,Later
bagi,for
tangan,hand
hebat,great
s,s
menunggu,wait
ikut,follow
melihatnya,see it
masa,times
jauh,Far
pekerjaan,work
ah,Ah
you,You
berdua,together
paling,most
peduli,care
aneh,Strange
anak-anak,children
penting,important
tadi,earlier
si,Si
selesai,finished
seluruh,all
ok,Ok
meninggalkan,leave
cuma,only
suatu,something
terbaik,best
khawatir,worry
tua,old
memberikan,give
tenang,calm
hentikan,Stop
disana,there
bisakah,can
coba,try
uh,Uh
menit,minute
sekolah,school
duduk,Sit down
sebelumnya,previously
secara,in a way
maka,so
besok,Tomorrow
minum,drink
tn,Mr.
berarti,means
a,a
bulan,month
bergerak,move
sejak,since
hampir,almost
kemari,here
kepala,head
astaga,Good grief
tetapi,but
soal,question
maksudmu,You mean
menggunakan,use
tau,know
diam,silent
aman,safe
berjalan,walk
buat,for
sulit,difficult
senjata,weapon
iya,Yes
inginkan,Want
kapan,When
sekitar,around
pintu,door
nak,Son
ayahku,My father
memberi,give
hati,heart
kesempatan,chance
nah,Now
bermain,play
cari,search
dekat,near
mendapat,get
bukankah,Is not that
jelas,clear
nya,his
tim,team
dengannya,with him
mudah,easy
akhirnya,Finally
jatuh,fall
kumohon,Please
denganku,with me
agar,so that
benarkah,Is that true
berakhir,end
ayahmu,Your father
memberitahu,telling you
alasan,reason
menarik,interesting
cantik,Beautiful
kawan,friend
berubah,changed
kupikir,I thought
satu-satunya,the only one
keras,hard
mata,eye
dokter,doctor
lainnya,other
beritahu,Tell me
kemana,Where to
serius,Serious
kuat,strong
bertanya,ask
minggu,Sunday
meminta,request
membuatku,make me
kerja,Work
bunuh,kill
pergilah,Go
kehidupan,life
berbeda,different
berharap,hope
bangun,get up
indah,beautiful
menurutmu,according to you
beri,Give
menyelamatkan,save
kata,say
hilang,is lost
kabar,news
darah,blood
dengarkan,listen
kamar,room
lari,run
kulakukan,I did
berkata,said
menyenangkan,pleasant
dilakukan,done
kosong,blank
b1,B1
eh,Eh
belakang,behind
raja,king
dasar,base
bajingan,bastard
biar,let
makanan,food
bantuan,help
dapatkan,Get
meninggal,die
ruang,room
demi,Demi
kedua,second
kekuatan,strength
marah,angry
membiarkan,let
lepaskan,release
daripada,than
buku,book
it,it
4ch000000,4CH000000
menikah,Marry
berusaha,try
diriku,myself
fncandara,Fncandara
rencana,plan
telepon,telephone
kasus,case
perang,war
pertanyaan,question
kapal,boat
belajar,Study
suara,voice
amerika,America
lupa,forget
lihatlah,Look
muda,young
pikirkan,Think
ibumu,Your mother
perjalanan,journey
menuju,going to
cerita,story
permisi,Excuse me
naik,go on
langsung,direct
wow,Wow
paham,understand
antara,between
membutuhkan,need
tinggi,tall
t,t
turun,down
ide,idea
4ah80,4AH80
kaki,foot
penuh,full
sendirian,alone
negara,country
lima,five
ibuku,my mom
namanya,His name
kematian,death
anjing,dog
berdiri,stand
to,TO
kecuali,except
kira,think
kapten,captain
rahasia,confidential
menang,win
and,and
menerima,accept
silakan,please
tanah,land
bicarakan,Talk
lucu,funny
buka,open
ch00ffff,CH00FFFF
melawan,oppose
menunjukkan,show
dirinya,himself
um,um
agen,agent
melalui,through
rasanya,it feels like
sepanjang,along
akhir,end
bu,Ma'am
artinya,It means
pilihan,choice
nona,Miss
terlambat,late
pesta,party
mulia,glorious
membuatmu,make you
membuatnya,make it
untukku,for me
temukan,Find
semakin,the more
well,Well
bung,man
kesalahan,error
john,John
silahkan,Please
lewat,past
mencintaimu,love you
sementara,temporary
nomor,number
api,fire
memilih,choose
pesawat,aircraft
guru,Teacher
bahagia,happy
waktunya,Time
film,film
tiba,arrive
bantu,help
melihatmu,see you
panas,hot
bumi,earth
memakai,use
okay,Okay
kubilang,I said
menemukannya,find it
segalanya,everything
setidaknya,at least
keren,Cool
membunuhnya,kill him
no,NO
jawab,answer
hidupku,my life
pesan,message
bertahan,endure
bayi,baby
bahasa,Language
kantor,office
putri,daughter
empat,four
tinggalkan,leave
muncul,appear
omong,Talk
kenal,know
perusahaan,company
awal,beginning
anakku,my child
penjara,prison
setuju,agree
nyata,real
sempurna,perfect
semoga,Hopefully
janji,promise
bercanda,joking
tampak,visible
pembunuh,murderer
siapapun,anybody
menghancurkan,destroy
kesini,come here
membayar,pay
surat,letter
of,of
kelas,class
beruntung,lucky
laki-laki,man
tampaknya,Apparently
whoa,Whoa
ulang,repeat
jumpa,Meet
sebaiknya,should
menembak,shoot
namun,However
brengsek,jerk
permainan,game
bila,when
hal-hal,things
sam,Sam
menjaga,guard
tahan,stand
sering,often
tutup,closed
sang,the
jack,Jack
pembunuhan,murder
perintah,order
semacam,sort of
jahat,wicked
hubungan,connection
terbang,fly
dingin,cold
mendapatkannya,get it
berikutnya,next
mengetahui,know
pasukan,troops
hati-hati,Be careful
laut,Sea
by,By
me,Me
meskipun,although
sehingga,so that
membawanya,carry him
sebabnya,The reason
huh,Huh
perempuan,Woman
segala,all
menangkap,catch
harusnya,should
kurang,not enough
tanda,sign
membeli,buy
mundur,retreat
berbohong,lie
mesin,machine
in,In
barang,goods
berita,news
begini,Look
bukti,proof
mimpi,dream
l,l
bisnis,business
bukanlah,not
menangis,cry
tembak,shoot
menulis,write
menelepon,call
berbahaya,dangerous
kukatakan,I say
pikiran,thought
mencuri,steal
terluka,wounded
tersebut,the
pakai,use
berani,brave
dr.,Dr.
agak,rather
awak,crewman
melindungi,protect
benda,object
membaca,read
setengah,half
dariku,from me
hitam,black
ha,Ha
musim,season
enak,nice
lagu,song
kemarin,Yesterday
tubuh,body
siang,Afternoon
man,Man
memikirkan,think about
inilah,This is
bersalah,guilty
mengirim,send
mengenai,about
namaku,My name
memutuskan,decide
mengubah,change
saling,each other
harap,please
paman,uncle
hingga,until
mendengarkan,listen
selamanya,forever
terhadap,to
saudara,you
hukum,law
menghilang,disappear
tugas,task
betapa,how
hmm,Hmm
lupakan,forget it
obat,drug
hadiah,present
manis,sweet
sebelah,adjacent
bagiku,To me
merasakan,feel
menghabiskan,use up
fs60,FS60
informasi,information
selain,besides
new,New
sisi,side
kunci,key
bebas,free
juta,million
istri,wife
menyukai,like
mengikuti,follow
my,My
keadaan,condition
milik,owned by
pernikahan,wedding
saatnya,It's time
kukira,I guess
menyukainya,like it
entahlah,Who knows
kesana,there
bersama-sama,together
benci,hate
kakak,Older brother
mengerikan,terrifying
pindah,move
berat,heavy
sadar,aware
m,m
merah,red
pribadi,personal
arah,direction
temanku,my friend
menyesal,regret
korban,victim
wajah,face
membuka,open
enam,six
presiden,president
inggris,English
bergabung,join
lantai,floor
udara,air
melewati,pass
anggota,member
batu,rock
gunakan,use
mengalami,experience
jujur,Honest
pintar,clever
sistem,system
putih,white
mr,Mr
sibuk,Busy
menghentikan,stop
memeriksa,inspect
dimulai,Starting
berjanji,promise
bola,ball
biasanya,usually
nyonya,Mrs
keamanan,security
mampu,capable
bintang,star
gagal,fail
panjang,long
dolar,dollar
bos,boss
musik,music
panggil,Call
kereta,train
menyerah,give up
serangan,attack
musuh,enemy
hi,Hi
mohon,please
menyerang,attack
tanganmu,Your hand
pakaian,clothes
foto,Photo
membunuhmu,kill you
akal,reason
kartu,card
mencintai,love
perasaan,feeling
tentara,soldier
jenis,type
acara,program
seberapa,how much
matahari,sun
mandi,bathe
mempunyai,have
toko,shop
membantumu,help you
maksud,Meaning
tunjukkan,show
kuharap,I hope
petugas,officer
kecelakaan,accident
ruangan,room
teman-teman,friends
memanggil,call
makhluk,creature
kabur,blurry
apos,Apos
ternyata,it turns out
memulai,start
tengah,middle
detik,second
terbuka,open
menurut,according to
kulihat,I saw
kini,now
hantu,ghost
jaga,keep
cocok,suitable
tertawa,laugh
posisi,position
namamu,your name
selanjutnya,furthermore
mengatakannya,say it
keberatan,object
mabuk,drunk
tertarik,interested
catatan,notes
tujuan,objective
kanan,right
kalah,lost
neraka,hell
pukul,o'clock
planet,Planet
menyelesaikan,finish
khusus,special
panggilan,calling
masalahnya,the problem
hanyalah,Only
periksa,check
hutan,forest
ditemukan,found
menonton,watch
utara,north
utama,main
kamera,camera
memberitahumu,tell you
burung,bird
dewa,god
ayahnya,his father
gak,No
cahaya,light
entah,who knows
hah,hah
pantas,proper
disebut,called
menginginkan,want
pahlawan,hero
terlibat,involved
operasi,operation
situasi,situation
melarikan,run
gambar,picture
kejahatan,crime
lee,Lee
misi,mission
percayalah,Believe me
perhatian,attention
gue,I
on,On
don,Don
membunuhku,kill me
menurutku,according to me
sir,sir
kiri,left
kalinya,the time
ketakutan,afraid
menjual,sell
kotak,box
terdengar,heard
kuda,horse
berguna,useful
sejauh,as far as
pintunya,The door
alam,natural
kemarilah,Come here
mengganggu,bother
pistol,gun
hello,Hello
sepertimu,like you
ikuti,follow
bahaya,danger
hubungi,Contact
hidupmu,Your life
nenek,grandma
gelap,dark
menyadari,realize
ahli,expert
kim,Kim
main,play
kopi,coffee
merupakan,is
memberimu,give you
go,Go
ratu,queen
that,That
kemungkinan,possibility
bersamamu,with you
diterjemahkan,translated
kejadian,incident
laporan,report
balik,come back
detektif,detective
daftar,list
es,ice
sejarah,history
nyaman,comfortable
daging,meat
keputusan,decision
caranya,The method
ceritakan,Tell me
bernama,named
istirahat,Rest
layak,worthy
pertemuan,meeting
penjaga,guard
alat,tool
kulit,skin
sesuai,in accordance
kebenaran,truth
persetan,damn it
peter,Peter
temanmu,your friend
york,York
tiba-tiba,suddenly
penyihir,witch
sampah,rubbish
bersumpah,swear
menghubungi,contact
hak,right
pemerintah,government
mendengarnya,hear that
darimu,From you
memastikan,ensure
lapar,hungry
bohong,Lie
tanya,ask
bunga,flower
menjelaskan,explain
sih,anyway
emas,gold
david,David
berasal,originate
malu,Embarrassed
kaya,rich
dah,Bye
monster,Monster
bersamaku,with me
mayat,corpse
frank,Frank
minuman,drink
tangkap,catch
bom,bomb
meja,table
pacar,boyfriend
digunakan,used
asing,foreign
daerah,area
ikan,fish
angkat,lift
pengacara,lawyer
michael,Michael
milikku,mine
bau,smell
normal,normal
harapan,hope
ampun,Gosh
butuhkan,need
mr.,Mr.
bank,bank
mengalahkan,defeat
jiwa,soul
prajurit,soldier
otak,brain
kabarmu,your news
miliki,have
menempatkan,put
hotel,hotel
selatan,south
lelah,tired
dapatkah,can
pohon,tree
sebagian,part
menemui,meet
apa-apaan,What the hell
berangkat,leave
pusat,center
tumbuh,grow
kerajaan,kingdom
dewasa,mature
maju,proceed
menjawab,answer
menutup,close